tweet,negative,neutral,positive,compound
"https://t.co/m0qTDLJdms is up. (Uniswap fork airdropped to those that sacrificed to prove they believe freedom of movement and assembly are 
Sacrifice site: https://t.co/bGKMWlIjO6 
The world's largest free airdrop: https://t.co/y1ZLsoq1La 🚀 #Bitcoin #ETH https://t.co/JapXcKJMKf",0.195,0.805,0.0,0.8176
"@LordOfTheLarp Have you checked out $SCAN yet? it also has an amazing tool which #DeFi traders can use to track pending buys and sells. Check it out at https://t.co/GF5KLFkYUP

#CoinScan #CryptoNews #Bitcoin #XRP https://t.co/Bh0sLdWjBA",0.103,0.897,0.0,0.5859
"📊 #crypto Stats 📊

#Bitcoin = $45526
#Ethereum = $3459.08
#Tether = $1.001
#BNB = $438.85
#USD_Coin = $0.999738
#Solana = $129.13
#Terra = $113.78
#XRP = $0.817516
#Cardano = $1.18
#Avalanche = $92.9 https://t.co/uttZkjlBRU",0.0,1.0,0.0,0.0
"2022年4月5日 4:00
ビットコインの価格は 5591038 円です。
一時間後は上昇📈と予想します。

前回予想: 上昇，結果: 上昇
的中率: 51.9%（14/27）
#Bitcoin #仮想通貨",0.0,1.0,0.0,0.0
"Intel Launches New Bitcoin Mining Chip, Blockscale https://t.co/uIYptI6jQ0 via @namcios",0.0,1.0,0.0,0.0
@AdamHODL #VOLTINU #CRYPTO #Dextools #Ethereum #Altcoins #CEX #Cryptocom #mexc #digifinex #VOLT #bsc #bnb  #COINMARKETCAP #Bitcoin #cryptocurrency #Binance #Altseason #Memecoin @Voltinuturkey https://t.co/w871u3RPG0 @elonmusk @cz_binance @VitalikButerin https://t.co/8bPWhwM8L0,0.0,1.0,0.0,0.0
@okx We are coming like a bomb with brand new news! @BscPitbull @gate_io $PIT #Bitcoin #btc,0.125,0.7,0.175,-0.2481
WHY Bitcoin Is DUMPING Today &amp; BTC Price Prediction https://t.co/rOfeq4HXf8,0.0,0.748,0.252,-0.4648
[1h] #Bitcoin market is weakly trending down current momentum suggests the market is neutral. #fintech #system #RT visit: https://t.co/yuSljvM9Fq for more!,0.0,0.866,0.134,-0.4753
"@davstier Zurück zu meiner Ausgangsfrage: Ist Bitcoin in dieser Hinsicht speziell? Wie gesagt gibt es viele Protokolle, auf die sich das gesagte übertragen ließe und die du offensichtlich auch verwenden kannst, ohne libertär zu denken. Oder wie sieht es mit analogem Solutionismus aus?",0.0,0.834,0.166,-0.8466
