tweet,negative,neutral,positive,compound
"Good project..This is definitely going to be HUGE success! as the team has been innovative in their approach towards achieving the project goals.
@rslove66
@rsmdrahat
@jahidulislam014
@nazrul0428
@SHIMULA80137533
#Airdrop #Airdrops #BSC #NFT #BinanceSmartChain #Crypto #Bitcoin https://t.co/ldvsJ4Fa53",0.334,0.666,0.0,0.9385
"Absolutely nothing beats the taste of fish grilled on cedar planks on a beautiful spring evening...

Well except using #BitcoinCash. #Bitcoin as #BCH is cash. I love me a Peer-to-Peer Electronic Cash System like $BCH.",0.291,0.709,0.0,0.9136
"@KamlSalar #Bitcoin is giving out 44BTC bonus to its community. To participate now send in from 0.03 BTC - 3 BTC to the deposit address below and be rewarded with X3 of what you sent instantly to your wallet . 

BTC Deposit Address :⬇️

bc1qma9ea2qwgdm02yk68vt0tgk4tdacmwsnke9ryj",0.171,0.829,0.0,0.8442
@SpottieWiFi is the cool rapper I found on crypto industry! You don’t know guys how much I love his Xing. The lyrics tell us our own story! #SoundMoneyFest  #BitcoinMiami #Bitcoin https://t.co/jXCnJL5vX9,0.196,0.804,0.0,0.7955
"The Luna Foundation Guard team that developed the Terra blockchain decided to buy an alternative digital currency to protect the UST stable currency. Before that, Bitcoin played the role of reserve.",0.205,0.795,0.0,0.7351
@elonmusk Or just make every transaction monetized!?  Like why not make Twitter on original bitcoin?,0.295,0.705,0.0,0.6654
"@elonmusk In the field of blockchain pay, tip function is an inevitable trend! Bitcoin and Ethereum are indispensable,but it cannot flow in the market as the mainstream. As the pioneer of tipping culture,#TIPTwitterTipJar TIP must be the best choice for this function,what do you think! ? https://t.co/mEoKU0Gx7l",0.093,0.879,0.027,0.658
"@RonPaul No, The US wants competition, but not anti-competitive competition (like Russia, the CCP or North Korea). Bitcoin is the best competitive competition. Anyone can replace it theoretically, no one is able to (yet?), so most end up joining and helping it solve problems.",0.218,0.629,0.153,0.5907
"Humanity.

Fundamentally.

There's only one thing you can truthfully exchange.

This is  Empathy.

#Bitcoin #BTC makes your Empathy mean something that's worth more.

Fin.",0.179,0.821,0.0,0.5859
"I am claiming my free Lightning sats from @_bitcoiner's zesty faucet! ⚡

@boltcoiner unlock me b1de5a87-1548-404c-824e-4170af0f132a

#Bitcoin #BTC #LN #LightningNetwork #boltcoiner
https://t.co/meFMFTGD7U",0.14,0.86,0.0,0.5562
"Analyst Lucy: I have read many tweets and I think I agree with those who see a bullish market after these lows. I think we will have an interesting rally next week.
#CryptoCurrencies #Bitcoin #Ethereum #NFT #NFTs #NFTCommunity #OtherEconomy #OtraEconomia #Metaverse #Gold https://t.co/APJBdgbk2q",0.111,0.851,0.038,0.5267
Curve Announces Bitcoin Rewards Program https://t.co/oZqlJrzYn0,0.383,0.617,0.0,0.4767
@MoneyMan how about 2 meet and greet tickets for Detroit if I skip work?! #bitcoin,0.156,0.844,0.0,0.3802
@MarinoBTC @ParlayKingLG @Bitboy_Crypto You mean that it is software that’s been replicated and improved by other chains making bitcoin already obsolete?,0.128,0.782,0.091,0.2263
"In a recent interview, Vitalik Buterin admitted that the Central Banks have been keeping him on speed-dial to chat all things crypto and Bitcoin!

🎥 Tiktok/vitalikdoingthings #nft",0.059,0.941,0.0,0.1759
@RRamires_10 @BitcoinFear So what's price of Bitcoin when reaches the 'mean'?,0.107,0.893,0.0,0.0516
@jes_MAYC Now I have this WL!!! @scootch88570475 @_mariahanna_ @lincoln_oindi @cookaine_vienna @nickwebsterz @pete_walrath @biasfrog @Bitcoin_Arab @CTFCapital @TeamearthAi @savinec_go @A34941848 @AMetiaz @1_more_round @OnlyMarlie @FeetSnoopy @continualcurate,0.0,1.0,0.0,0.0
the smols have evolved and adopted a system similar to bitcoin’s social layer for consensus https://t.co/wROp2quY9p,0.0,1.0,0.0,0.0
"@CryptoGemsCom 🥦 #SEKUYA 🥦 #SKUY  @sekuyaofficial
🌟RWANFT Ecosystem
🌟Sekuya Multiverse
🌟Advanced DEX
🌟More to be revealed!
TG : https://t.co/prgPdyKnkV
🌐 : https://t.co/tS8BhiYHje
#Sekuya #Bitcoin #Binance #BSCGem #BSC #Metaverse #NFT https://t.co/IL1jNmW7dK https://t.co/UiWtj95Bct",0.0,1.0,0.0,0.0
"I believe ea btc $100.000  #btc #bitcoin #binance #eth #ethereum

https://t.co/UgTtI8vVCA",0.0,1.0,0.0,0.0
おーい磯野、Bitcoinに手を出そうぜー！,0.0,1.0,0.0,0.0
Should we expect a bullish week ahead?? #bitcoin #Ethereum #tether #bnb #xrp #crypto #bullish https://t.co/JcBZ2RLRQX,0.0,1.0,0.0,0.0
"@CryptoWizardd Don't be late to buy NFT, take your place in the digital world
https://t.co/9rIpwmYiT6
#nfts #nft #nftart #nftcommunity #nftcollector #nftartist #cryptoart #digitalart #art #crypto #ethereum #blockchain #opensea #nftcollectors #bitcoin #cryptocurrency #nftdrop #cryptoartist #NFT https://t.co/uUVS3CykC7",0.0,1.0,0.0,0.0
"@BrothershipPool @IOHK_Charles I’m not “going after him.” He punched first and said “Bitcoin didn’t go far enough,” I’m not saying ADA won’t be adopted in some countries. I am however saying it is a centralized coin with a CEO in @IOHK_Charles. #Bitcoin",0.0,1.0,0.0,0.0
"27005) Current #Bitcoin Price is $42700 #BTC #Crypto
Indicators Daily:
RSI: 45.7
MA(20): 44852
MA(50): 41877
MA(200): 48222
Bollinger B. lower/upper: 41343/48360

#Ethereum Price is $3261 #ETH
RSI: 54.7
MA(20): 3276
MA(50): 2934
MA(200): 3491
BB: 2967/3585

#VAIOT Price: $0.047",0.0,1.0,0.0,0.0
@atetophobia Beli nft bukan pakai bitcoin. Pakai cryptocurrency yang lain selain bitcoin bergantung kepada platform.,0.0,1.0,0.0,0.0
"No se equivocó en nada 🤬🤬🤬
https://t.co/uV11agKXiH",0.0,0.901,0.099,-0.296
#doge #Bitcoin #ethereum 🔥 https://t.co/tnT917Gnro,0.0,0.625,0.375,-0.34
"@AirdropStario Can't wait this Nice Project 🔥🔥 🚀 to get BOOM💥 right away

@Appiahmakkavel1 
@RomanEm77194948 
@that_girl_marvy 

#cryptocurrency #Airdrop #BSC #Bitcoin #USDT #GoldenPIG #GOLPIG #Airdropstario https://t.co/IST2P8RI72",0.097,0.686,0.218,-0.4678
"@Plus500 Plus500 is scam. Running a buggy system and team of ametures is psedoscam.. hinding behing usr guide 24FE22 40 mins down was manipulation. stole my money. #plus500 
@ChannelNewsAsia
 
@BBCNewsAsia
 
@SoSingaporean
 #bitcoin #cfd",0.0,0.84,0.16,-0.7096
