tweet,negative,neutral,positive,compound
"👀 By the way, we are still holding #FTT. 

It is consolidating above the strong support of $49 - $50. Good zone for buying. Also place SL below the level.
© @Robert_Klondike
#btc #ETH #FTT #Bullish
#MANA #Metaverse #NFT #trading https://t.co/ABXDfUunrd",0.19,0.81,0.0,0.836
"@ComptonCats Amazing minutia detail of this project, in 4k
#CryptoBullSociety #ETH https://t.co/wDW6Tjn4ic",0.257,0.743,0.0,0.5859
@nftwhale_matt UNBELIEVABLE! 🚨🚨 There is one stock that will change your life forever! AND NASDAQ Uplisting is soon! BNXA is the gate of #crypto and #bitcoin #btc #eth #ethereum #doge https://t.co/mWFyDLByjx,0.089,0.911,0.0,0.5282
@Niftycrypt @Albo_lau @rodney_eth @kahiruNFT @kbezzyfbaby @stephen_myj @endgame1998 @angie195914 @wheresmyhome,0.0,1.0,0.0,0.0
"#DKS #STEPN #ACM
#ETH #Airdrop #Launchpad #BNB #SOL $PUNDIX #Enjin $CITY  
$ACM $GMT
$ZIL $GMT htps://t.co/paNQ https://t.co/SUmLqn34l0 https://t.co/QIn8Fmg4we",0.0,1.0,0.0,0.0
@Niftycrypt @Albo_lau @rodney_eth @kahiruNFT @palo75mino @tihani_baby @milbzz73 @tagomiami @webbicycles,0.0,1.0,0.0,0.0
"@HAANA_BGV @marvin 👽https://t.co/bMiUA11x0z 
🪐https://t.co/EGVs54eUI8

@Marvin_Inu  #marvin #MarvinArmy #Marvinauts #BSC #BTC #bnb #ETH #cryptocurrency #NFT #saitama #web3 #1000xgem $Marvin #MarvinInu #BSC #SHIB #1000Xgems #Floki #crypto #LunarCrush https://t.co/KsK0eGOLh7",0.0,1.0,0.0,0.0
@hugo_eth 0x32e13Fa8b5c728A1Dd032a80bbAB9C68CdD9659A,0.0,1.0,0.0,0.0
"@NFTectureLand @Tezzy_eth @GSB_007 @tis_list This crew is a no brainer! We already floating, now we just gotta island hop",0.0,0.878,0.122,-0.3595
@mexico_sombrero @NFT_R3X NEW DROP!!! 0.013 #ETH 1/1 https://t.co/mRcBFcQzyr #FrogFam #pepethefrog #pepefrog #PEPEnft #PepeFam #NFTs #opensea #nftart #nftcollector #NFTdrop #NFTCollection #NFT #Ethereum #NFTCommunity #NFTartist #nftcollectors #OpenSeaNFT #openseanfts #JurassicWorld #jpg #frognation,0.0,0.883,0.117,-0.5732
