tweet,negative,neutral,positive,compound
@Skhumbuzo123 @NgcetheN @fantom_ghostt @Buhleee_ It's ON I guess😂😂😂😂We are officially married Wedded by him,0.248,0.587,0.165,0.7783
@TheSimbaCrypto @fLibero_Fi @hunroad @TheCryptoSamy1 @Fantom_Space @LiberoFinancial @fantom_daily @DefiLlama @TitanoFinance @news_of_bsc You got that right the Libero empire is definitely going to making some people serious numbers real soon. I like having it on another chain I'm less tempted to see it as a paycheck like I do my xLibero or even Libero holdings.,0.133,0.845,0.022,0.7506
@pttsnftpromo https://t.co/agFk2UWCVM https://t.co/Jxj4xEDcS9,0.0,1.0,0.0,0.0
Requesting $FTM funds from the #Stakely Faucet on the Fantom blockchain. Request ID: L3TTLA8V #privacy https://t.co/7kASmNW4yP,0.0,1.0,0.0,0.0
@DoodleJackNFT https://t.co/agFk2UWCVM https://t.co/Fgnuk7yh58,0.0,1.0,0.0,0.0
Requesting $FTM funds from the #Stakely Faucet on the Fantom blockchain. Request ID: UZF1UM4O https://t.co/Yl8hRCdUjk,0.0,1.0,0.0,0.0
@DoodleJackNFT https://t.co/agFk2UWCVM https://t.co/pmSwhMfTdS,0.0,1.0,0.0,0.0
@DoodleJackNFT https://t.co/agFk2UWCVM https://t.co/TdjU24QlqQ,0.0,1.0,0.0,0.0
@pttsnftpromo https://t.co/agFk2UWCVM https://t.co/6rqatbZNmh,0.0,1.0,0.0,0.0
@pttsnftpromo https://t.co/agFk2UWCVM https://t.co/4TQWiRvGkH,0.0,1.0,0.0,0.0
