tweet,negative,neutral,positive,compound
"These projects are accumulating a ton of new capital 💸

Let's celebrate the Top TVL Gainers On @FantomFDN in the last 7 days 📊

🥇 @RevestFinance +16,869%
🥈 @PotluckProtocol +855%
🥉 @epsylon_finance +288%
4⃣ @ankr +76.05%
5⃣ @xdaoapp +56.97%

Explore more 👇

#Fantom #FTM https://t.co/vKKhC2qBog",0.222,0.778,0.0,0.93
"@RealCryptorich 🤝
@routerprotocol is ecstatic to announce that their cross-chain super mesh now includes Fantom and Ethereum.

@FantomFDN @ethereum
$ROUTE
 #Ethereum 
#CrosschainBridge #CryptoNews 
#Fantom
#RouterProtocol 
#Crosschain

More details 
https://t.co/6NlA1dgMd7",0.211,0.789,0.0,0.802
"@CryptoGemsCom 🤝
@routerprotocol is ecstatic to announce that their cross-chain super mesh now includes Fantom and Ethereum.

@FantomFDN @ethereum
$ROUTE
 #Ethereum 
#CrosschainBridge #CryptoNews 
#Fantom
#RouterProtocol 
#Crosschain

More details 
https://t.co/6NlA1dgMd7",0.211,0.789,0.0,0.802
"@Futureistody 🤝
@routerprotocol is ecstatic to announce that their cross-chain super mesh now includes Fantom and Ethereum.

@FantomFDN @ethereum
$ROUTE
 #Ethereum 
#CrosschainBridge #CryptoNews 
#Fantom
#RouterProtocol 
#Crosschain

More details 
https://t.co/6NlA1dgMd7",0.211,0.789,0.0,0.802
"🧙・jackis Jackis 🧙:  Another one I'm watching for a Weekly6 with great R is an addition to our spot bag on
Telegram Channel = Signal Alerts Premium
#Adadao  #ADAO #OasisNetwork  #ROSE #GasDAO  #GAS #Fantom  #FTM #Harmony  #ONE
#1of2 https://t.co/3BFDCetsCk",0.155,0.845,0.0,0.7783
"🧙・jackis Jackis 🧙:  Another one I'm watching for a Weekly6 with great R is an addition to our spot bag on
Telegram Channel = Signal Alerts Premium
#Adadao  #ADAO #OasisNetwork  #ROSE #GasDAO  #GAS #Fantom  #FTM #Harmony  #ONE
#1of2 https://t.co/5WPCVTqiLk",0.155,0.845,0.0,0.7783
"@fLibero_Fi This is a of designers. Assuming you are figuring where to put away cash, I exhort this undertaking.  to lose.this is nice project and good project.

#FTM #Fantom $flibro $libreo #DeFi #finencialfreedom",0.155,0.845,0.0,0.6908
"🧙・jackis
Jackis 🧙:
The market has flipped all EMAs into bullish momentum, moving in GZ currently, just spotted 🙂
Telegram Channel = Signal Alerts Premium
#Adadao  #ADAO #OasisNetwork  #ROSE #GasDAO  #GAS #Fantom  #FTM #Harmony  #ONE https://t.co/BkP2lcqP66",0.131,0.869,0.0,0.6605
"🧙・jackis
Jackis 🧙:
The market has flipped all EMAs into bullish momentum, moving in GZ currently, just spotted 🙂
Telegram Channel = Signal Alerts Premium
#Adadao  #ADAO #OasisNetwork  #ROSE #GasDAO  #GAS #Fantom  #FTM #Harmony  #ONE https://t.co/eidSG4jVTn",0.131,0.869,0.0,0.6605
@Fantom_Kit 😁,0.375,0.625,0.0,0.4588
@FantomMaker @chain_port Hope everyone got in that wanted to. #fantommaker #fantom #IDO #Metaverse #Launchpad,0.182,0.818,0.0,0.4404
"BAND. Big R (obviously can take first PT above local high)  E: 4.9 - 4.86 SL: 4.64 PT:  6.24 / 7.7 / 10.6
Telegram Channel = Signal Alerts Premium
#Adadao  #ADAO #OasisNetwork  #ROSE #GasDAO  #GAS #Fantom  #FTM #Harmony  #ONE
#2of2",0.065,0.935,0.0,0.4019
"BAND. Big R (obviously can take first PT above local high)  E: 4.9 - 4.86 SL: 4.64 PT:  6.24 / 7.7 / 10.6
Telegram Channel = Signal Alerts Premium
#Adadao  #ADAO #OasisNetwork  #ROSE #GasDAO  #GAS #Fantom  #FTM #Harmony  #ONE
#2of2",0.065,0.935,0.0,0.4019
@TastyBonesNFT @projectPXN @AUngurusan @Danijel_Danii @Monkyboy147 Fantom chain yes,0.278,0.722,0.0,0.4019
"@WhaleEverything #FLIBERO is getting ready to have a big massive pump coming this month. So grab your #FLIBERO now 📢📢
@fLibero_Fi

BUY FROM HERE:https://t.co/kRU3iuWjWr",0.094,0.906,0.0,0.3612
Join Fantom Maker x ChainPort Giveaway &amp; IDO-Non HolderAllocation https://t.co/S78tjMY4bT,0.196,0.804,0.0,0.296
Join Fantom Maker x ChainPort Giveaway &amp; IDO-Non HolderAllocation https://t.co/0ggcF4Pxb2,0.196,0.804,0.0,0.296
@Route2FI To add fantom opera network to their metamask.,0.0,1.0,0.0,0.0
#fantom #ftm https://t.co/Fu2M56Qeky,0.0,1.0,0.0,0.0
Sapanı ne kadar gerersen taş o kadar ileri gider? Kısa vade değil #HODL edenler için geçerli ve majörler arasında #FTM #Fantom ✅✅✅✅✅✅✅✅✅✅✅,0.0,1.0,0.0,0.0
#Phantom #PTM #Fantom #PhantomAirdrop #FTM https://t.co/hnvGDJk9AN,0.0,1.0,0.0,0.0
Requesting $FTM funds from the #Stakely Faucet on the Fantom blockchain. Request ID: GMHNZGDO #privacy https://t.co/D4zJVeEYbe,0.0,1.0,0.0,0.0
@OdeOsbourne @NarekM91 @egosystem #narek #noDES #Fantom #brewlabs #CoinMarketCap #CoinGecko https://t.co/otyU24IYTq,0.0,1.0,0.0,0.0
"@Erolomak6 @Fantom_Kit Bu tip geçişler AB ülkelerinin bir çoğunda var 

Sorun köprü veya tüneller degil ❗️

‘Sorun kanı bozukluk namertlik ve hainlik ;..",0.0,1.0,0.0,0.0
#FTM #Fantom $flibro $libreo #DeFi #finencialfreedom https://t.co/ich0w6ljLi,0.0,1.0,0.0,0.0
@Fantom_Nation @philetairus @CinthyaGz5 @enigma13o1,0.0,1.0,0.0,0.0
