tweet,negative,neutral,positive,compound
"Charlie
I love how he looks like he has little angel wings when he ""squats"" https://t.co/rgkBzYVZAZ",0.324,0.676,0.0,0.7717
im looking at my video that i took recording my morning physique and LMAOO my squats been hittin i see 😂😂,0.203,0.695,0.102,0.7003
Boutta try set a PB for squats wish me luck,0.416,0.584,0.0,0.6908
"i haven't done squats in so long and it feels like all my calf strength is gone :'( i really need to start exercising my core more because i'm starting to get a smog pudge. (nothing inherently wrong with pudges, but i'd really like to do away with mine)",0.166,0.768,0.066,0.6825
"Squats can help your jumping, but jumping doesn’t always help your squat",0.351,0.649,0.0,0.6597
"@monsterbrute Do some some squats, hog. Arms dont matter if you dont have gpod legs under that huge gut to carry it aroumd. No matter what coach or  trainer tells you, squats save lives",0.146,0.797,0.057,0.6544
"NEW SUBS/DONOS MAKE ME DO 20 PUSHUPS,SQUATS, AND SITUPS   every win i do 5 each every  loss i do 10 each .... summer body watch the progress https://t.co/lEZh9zMMQX",0.195,0.737,0.068,0.6486
"Gracias. 

     ( squats beside Chorizo. There’s a lot of bargaining going on. Whispering. ) 

Alright, Marisita, we’ve came to an agreement. https://t.co/Hcbh5bFeDK",0.206,0.794,0.0,0.6369
Practicing my squats to perfect this move 😳😳😳 https://t.co/hl83CiQMlL,0.222,0.778,0.0,0.5719
"@ClassyKylz @TrevorHickey81 He has many, many more squats left in him eh? 😂",0.184,0.725,0.092,0.4404
"I FIGURED IT OUT! I was at the gym with a personal trainer, doing squats. I was trying to distract myself from the OOF factor. So I was being funny,  she got distracted. I did twice the squats I usually do. Did dabs and I'll take a salt bath tonight. Regular massage is Monday! :)",0.104,0.821,0.074,0.4374
"78 days of 100 squats/day
12 more days to 100! 

R/T if you want to see the full 🍑
#fitwife #bootygains #booty #SaturdayVibes #SaturdayMotivation #selflovesaturday #squats #momswhosquat #fitness #fitmom #girlswholift #asseveryday https://t.co/6K99kHwczV",0.11,0.89,0.0,0.4003
"@mattizzo Nice training brother! 

I did HIIT cardio and made up some pause squats I missed this week. 

Plus tons of walking back and forth, up and down stairs while backing boxes.",0.118,0.819,0.062,0.2481
"Targeting major muscle groups these athletes need to improve performance. Stressing it’s not just about squats, deadlifts &amp; bench. Light weight &amp; a whole lotta reps! 😤😤😤 Let’s goooo! https://t.co/lwpbeJZzqX",0.073,0.875,0.052,0.2462
"@username0623 rdls, summo squats, glute focused split squats, hip thrusts, single leg deadlifts, gluteus medius kickbacks r the ones that helped me😭 but limiting ur # of excercises for ur legs/glutes is good so u can focus on form n progessive overload . I ALSO ONLY REALLY USE DUMBELLS TOO",0.094,0.817,0.088,0.09
"@Bluewolfdude I switched out DL and squats for other exercises because injuries are not worth dealing with, train smarter with alternative exercises can achieve same thing as you’re working the appropriate muscle groups - might not be effective but I want a life, not injuries.",0.073,0.862,0.065,0.0875
I want to be able to do pistols squats but knees won’t let me,0.081,0.919,0.0,0.0387
100 push-ups completed 100 squats completed,0.0,1.0,0.0,0.0
Daily squats🍑 https://t.co/UQZlVbuJEW,0.0,1.0,0.0,0.0
5 #EXERCISES FOR MAXIMUM MUSCLE: 1.) Squats 2.) Deadlifts 3.) Pull-Ups 4.) Bench Press 5.) Military Press,0.0,1.0,0.0,0.0
squats I presume(kapri) #nsfw #furryporn #yiff #yiffbot https://t.co/ORmmVaq9xZ https://t.co/AFjJklBcBv,0.0,1.0,0.0,0.0
@domluszczyszyn plyometrics and front squats prolly,0.0,1.0,0.0,0.0
@volunt4ryvoice German volume on some squats,0.0,1.0,0.0,0.0
"3.
Spent several minutes stretching my back out afterwards. I've neglected my back too much the past few yrs, time to fix that. 

Taking a break now to breathe deeply &amp; drink water,  but about to grab my weights &amp; do my squats. 
Will see where it goes from there.",0.0,0.957,0.043,-0.296
"Tried Bulgaryan split squats, can't say I enjoyed it.",0.0,0.748,0.252,-0.4023
"#findingmyself
#Redsjourney

Day 2 Planks &amp; Squats
Rough breathing day unrelated to exercise.
Got work done slower than usual due to soreness. Should have ridden my exercise bike before going out, but figured I'd just walk it out to warm up. Wrong! 🤦‍♀️

🧵",0.045,0.869,0.086,-0.4753
Just today I saying I need to start back doing stretches and squats or whatever is in my limited capabilities- 2 minutes later i stop to pick up my phone and both knees popped https://t.co/wUKOa9Be97,0.0,0.889,0.111,-0.4767
@WarComTeam Wait I just realized this means Chaos Squats could be back too.  I’m all in for that.,0.0,0.821,0.179,-0.5719
Now what’s so scary ab it? Ankle weights and some side squats??? Parfaite! https://t.co/SmKvGDHLRU,0.0,0.708,0.292,-0.7483
"Fucking bedbound for the night because my knee is injured from an incident 2 days ago; while doing squats, my left hip gave out mid squat, which ruined my form and it apparently fucked up my left knee, but not till today. My injuries are as delayed as my mental processing",0.0,0.84,0.16,-0.7876
